halo_id,halo_mass,sum(stellar_mass),halo_mass+sum(stellar_mass)
2543300081124,9955694346240.00,121954254848.0,10077648977920.0
1934500152121,16714403151872.00,318999330816.0,17033401991168.0
4984700151121,10215992852480.00,43782631424.0,10259775094784.0
2422100115124,13271638736896.00,499686834176.0,13771326095360.0
2062100141124,12238507212800.00,346926710784.0,12585433825280.0
1671300125131,10085843599360.00,139751604224.0,10225595711488.0
2797800193127,14211047489536.00,403551617024.0,14614599303168.0
3223200027124,17341543874560.00,361000534016.0,17702544474112.0
3451500188137,12173432586240.00,186187235328.0,12359619837952.0
1887500164121,10031181332480.00,204662931456.0,10235844493312.0
5350300060124,14234467434496.00,414443372544.0,14648910807040.0
3375500028127,10897973051392.00,274937020416.0,11172909678592.0
2767400098131,10640278159360.00,152205672448.0,10792484208640.0
3523200130137,10179550642176.00,224113049600.0,10403663839232.0
3433300025134,17227044618240.00,247441883136.0,17474486534144.0
5735000144131,10434642968576.00,99664371712.0,10534306971648.0
3197100059134,23274652172288.00,345917915136.0,23620571103232.0
19800032134,30118546243584.00,567948410880.0,30686494851072.0
2883700177127,10447657893888.00,149515894784.0,10597173297152.0
5534100145137,17211431321600.00,395662884864.0,17607094697984.0
3056600068121,10111873449984.00,231621083136.0,10343494451200.0
511200166127,12061504438272.00,89840566272.0,12151345381376.0
176500181134,10668910575616.00,339034472448.0,11007944556544.0
721200159134,17825559216128.00,484536123392.0,18310095699968.0
5980300187137,11871486738432.00,219040219136.0,12090526924800.0
1599100096134,20029657579520.00,193881997312.0,20223539281920.0
6471800115137,14138185089024.00,240658563072.0,14378843766784.0
3771900020131,10189963001856.00,111292186624.0,10301254664192.0
3246800187127,11051548540928.00,243481919488.0,11295029985280.0
2250000190137,24201050193920.00,24559343616.0,24225609940992.0
4780100143127,11142653018112.00,151672487936.0,11294325342208.0
5046200115137,16631131537408.00,155328086016.0,16786459197440.0
2259700172127,25645295861760.00,872014479360.0,26517310537728.0
103900079131,17411803709440.00,286225793024.0,17698029305856.0
3004700055124,14276104290304.00,254700470272.0,14530804449280.0
3198700126137,30378771349504.00,462751105024.0,30841522618368.0
2984500020137,18072773591040.00,470419701760.0,18543194144768.0
4046000159134,10994282659840.00,189496786944.0,11183779217408.0
2151300020137,9859384737792.00,339874414592.0,10199259676672.0
3622100060134,40402602164224.00,883466305536.0,41286069387264.0
4339700059134,9586071306240.00,483680485376.0,10069752152064.0
4135100024137,14317740097536.00,320426770432.0,14638167097344.0
6486500109137,30436019404800.00,928099663872.0,31364118216704.0
3528200095134,9781295185920.00,337462034432.0,10118757351424.0
1518500096127,15085400489984.00,321993146368.0,15407394062336.0
336600130127,16149716664320.00,241768284160.0,16391484735488.0
2423300064134,15561610231808.00,328785428480.0,15890395430912.0
7713500156127,14786143191040.00,390393921536.0,15176537473024.0
6690600040137,19272405352448.00,275822116864.0,19548226977792.0
4119800156134,19889137909760.00,549303058432.0,20438440738816.0
1713500180121,11483643641856.00,191790891008.0,11675434483712.0
5590800130134,12545614151680.00,206681866240.0,12752295821312.0
2782200191131,10265448939520.00,73029206016.0,10338478063616.0
5971100131137,36811510382592.00,614041124864.0,37425552293888.0
5400400097127,20534492397568.00,373788409856.0,20908280381440.0
