halo_id,halo_mass,sum(stellar_mass),halo_mass+sum(stellar_mass)
599900022331,31713719746560.00,529107910656.0,32242827001856.0
359000030338,12920336416768.00,199642644480.0,13119978995712.0
476600164355,79832251629568.00,513416200192.0,80345667993600.0
70200040338,30048285360128.00,200126103552.0,30248412381184.0
811200165347,37295524675584.00,398734655488.0,37694260379648.0
271600054382,28067980378112.00,337818222592.0,28405798010880.0
90800024401,127195993341952.00,1164346654720.0,128360340520960.0
521300070347,22691750871040.00,362258890752.0,23054008713216.0
293000034365,65472418545664.00,648318287872.0,66120736309248.0
98600098347,60350607130624.00,850639585280.0,61201245536256.0
158500098347,16001389297664.00,144243212288.0,16145632460800.0
51500112373,23730044534784.00,399144976384.0,24129189183488.0
241400144338,58315950260224.00,680339177472.0,58996291534848.0
340600044347,96638357995520.00,830982914048.0,97469341892608.0
182500069382,11184300359680.00,54582775808.0,11238882934784.0
52600138338,12092740468736.00,169180217344.0,12261920866304.0
103400144392,63909302108160.00,685908951040.0,64595209224192.0
683800138331,45078827499520.00,722777866240.0,45801606742016.0
831100041331,21192859713536.00,239893004288.0,21432752930816.0
956900110323,9981724196864.00,94338588672.0,10076062482432.0
64800022355,18221100957696.00,128757579776.0,18349857701888.0
75000024411,47652444045312.00,412827648000.0,48065272610816.0
124800024373,159206216826880.00,2349195067392.0,161555412942848.0
133400034355,60856012374016.00,655650586624.0,61511661780992.0
29700128355,68830512545792.00,709571641344.0,69540083924992.0
383200126373,269010495078400.00,6447560130560.0,275458063073280.0
288800068338,15353431195648.00,81549533184.0,15434981048320.0
615200114365,12714758897664.00,44262739968.0,12759021387776.0
64200114347,10018166407168.00,191173951488.0,10209340686336.0
874200094331,10903179231232.00,48352219136.0,10951531167744.0
291000151331,24351980126208.00,593915740160.0,24945895669760.0
189900044331,11973003575296.00,391276560384.0,12364279709696.0
847200031338,16006593380352.00,123313127424.0,16129906966528.0
156600031331,31947921293312.00,307102515200.0,32255024037888.0
3100110347,12113564139520.00,116685996032.0,12230249676800.0
175400029331,38315604574208.00,639986040832.0,38955592450048.0
726700182331,27412215627776.00,397767868416.0,27809984544768.0
40100099401,13779076120576.00,158714773504.0,13937790681088.0
263700191373,15288375443456.00,87572987904.0,15375948316672.0
359900157392,14752314032128.00,142237859840.0,14894552317952.0
491800169355,22881712996352.00,378574372864.0,23260286681088.0
443400179347,47694080901120.00,841015230464.0,48535097573376.0
176400145392,185173085782016.00,1744154263552.0,186917245157376.0
30700157392,190098742181888.00,3013513314304.0,193112248942592.0
392500151365,21362005508096.00,240624041984.0,21602628534272.0
415900151338,15772391833600.00,138967318528.0,15911359610880.0
464400078347,13802496065536.00,87456579584.0,13889952546816.0
68500125401,19917761937408.00,256925696000.0,20174688223232.0
947700108338,178474731962368.00,1560460132352.0,180035197599744.0
271800183347,11278007402496.00,150582378496.0,11428590256128.0
54300130365,22147881762816.00,231182974976.0,22379065507840.0
601900034365,22324835254272.00,344080547840.0,22668914982912.0
111500085365,53035220860928.00,883080232960.0,53918302208000.0
710000034331,16815890628608.00,310289858560.0,17126179995648.0
88100177373,19446756278272.00,139372593152.0,19586128805888.0
104600046338,14112162578432.00,159289835520.0,14271452807168.0
270400043365,15132241428480.00,388404871168.0,15520646561792.0
949000044338,19569062182912.00,205924057088.0,19774985732096.0
1039300127331,37573967740928.00,319380848640.0,37893347213312.0
382100146365,52381316284416.00,729623691264.0,53110940631040.0
