halo_id,halo_mass,sum(stellar_mass),halo_mass+sum(stellar_mass)
2605600131159,29886947262464.00,726352068608.0,30613300051968.0
1271400176144,15990980083712.00,477682794496.0,16468663074816.0
589100140151,19990625386496.00,559862251520.0,20550487375872.0
4420100082159,12511784992768.00,210049368064.0,12721834688512.0
6200400056159,11481040027648.00,227821469696.0,11708860989440.0
3449600111155,13243014709248.00,141252919296.0,13384267333632.0
2310200111155,47657649176576.00,714310156288.0,48371960119296.0
2408000188159,11400347910144.00,139892916224.0,11540240531456.0
1177400183163,24245287518208.00,349788110848.0,24595075694592.0
3796800029144,11892311457792.00,257904066560.0,12150215016448.0
1219100059144,11468025102336.00,231533658112.0,11699559071744.0
1774300058163,39351295672320.00,672580304896.0,40023877484544.0
6020000058163,14494691491840.00,169540567040.0,14664231550976.0
2274600185155,20482447376384.00,396959973376.0,20879406792704.0
4319000138141,13308070461440.00,580218650624.0,13888289505280.0
5035600189155,12826655588352.00,195316350976.0,13021971742720.0
812300037151,11272802271232.00,218906574848.0,11491709288448.0
2629100072144,24711088046080.00,394632364032.0,25105719623680.0
4386000190159,12472750702592.00,446642454528.0,12919392698368.0
5150400021155,21848624463872.00,233841508352.0,22082465300480.0
2423300035141,12259330883584.00,174206124032.0,12433537105920.0
6174000107137,16295442513920.00,156578611200.0,16452021125120.0
3843700085155,18528165953536.00,306026020864.0,18834192859136.0
2761400037144,38976572358656.00,743143440384.0,39719714947072.0
5993300048155,13430375317504.00,294817759232.0,13725192945664.0
5810900188159,11540908474368.00,233248751616.0,11774156865536.0
4585400064155,13287252033536.00,309688631296.0,13596940566528.0
1513200071155,26129312251904.00,476698181632.0,26606009581568.0
4873600086151,11887105277952.00,126900609024.0,12014006042624.0
6340600190151,12636692414464.00,313901547520.0,12950594125824.0
4032300112159,15618860384256.00,258202828800.0,15877062787072.0
5628100025155,13570896035840.00,268539133952.0,13839435300864.0
1217400192155,16246000058368.00,355889414144.0,16601889898496.0
5373400021159,15840050151424.00,373415608320.0,16213465890816.0
3267700159155,10114476015616.00,254827954176.0,10369304100864.0
2218200027151,10153520791552.00,125804306432.0,10279324745728.0
3007800131155,22938963148800.00,590655651840.0,23529619718144.0
923800026159,38396273623040.00,915057737728.0,39311332343808.0
4029000192159,17640800124928.00,148163297280.0,17788963913728.0
4237900034159,17919241093120.00,371528237056.0,18290768347136.0
2897700155155,12121372884992.00,92520300544.0,12213892939776.0
566200167159,24073539158016.00,712555757568.0,24786094784512.0
1960000107144,10036386463744.00,83364831232.0,10119751401472.0
4641700112148,14476476678144.00,472165449728.0,14948642062336.0
4470000058155,17487268675584.00,139507974144.0,17626776469504.0
5657000099151,12725168111616.00,82085339136.0,12807253786624.0
5185700036155,11507069878272.00,259593011200.0,11766662692864.0
6271700129144,10109269835776.00,119342292992.0,10228612464640.0
2138500033144,12444126674944.00,163658072064.0,12607784222720.0
3796900116159,35476559888384.00,501200322560.0,35977758244864.0
3371500163148,12985392168960.00,364480626688.0,13349872992256.0
219200025144,11155667943424.00,198718603264.0,11354386726912.0
2458800186148,12144800169984.00,331594694656.0,12476394504192.0
4955900159155,11251978600448.00,148034912256.0,11400013414400.0
107600020148,10950032752640.00,233844998144.0,11183877783552.0
3715800145141,18614038036480.00,300964478976.0,18915002417152.0
2636100043151,40522303406080.00,519074283520.0,41041377886208.0
352500193163,27217048371200.00,287282233344.0,27504330932224.0
2848900078159,23449003098112.00,531547881472.0,23980551438336.0
1268200109155,20284677554176.00,226639527936.0,20511316770816.0
5716200180144,10567394787328.00,196862607360.0,10764257591296.0
5302100157148,21905874616320.00,250433617920.0,22156308119552.0
4251600098151,10083239985152.00,56624340992.0,10139864137728.0
5884900141151,10150918225920.00,75389108224.0,10226307694592.0
127600029148,11762162204672.00,151081435136.0,11913243131904.0
2799700111151,11244168806400.00,128842022912.0,11373010485248.0
3147900093159,14317740097536.00,113212162048.0,14430952751104.0
3689100176144,13916994273280.00,211521241088.0,14128515121152.0
1754800109144,14419226525696.00,242748637184.0,14661975015424.0
2243100027148,13763462823936.00,149029060608.0,13912491687936.0
913800157155,18072773591040.00,306528190464.0,18379301715968.0
3814500078144,9945283035136.00,76593324032.0,10021876269056.0
6511900098155,16058638401536.00,466979848192.0,16525618577408.0
1859300187144,15428896161792.00,161740046336.0,15590635864064.0
1093500083155,10114476015616.00,189835378688.0,10304311263232.0
1147900177155,14031493529600.00,256752844800.0,14288246800384.0
2493700084155,14471271546880.00,239057551360.0,14710329049088.0
1302500127148,11517482237952.00,263922188288.0,11781404622848.0
3794200026148,20935237173248.00,245227962368.0,21180465545216.0
785700071141,9966106705920.00,56934367232.0,10023041236992.0
743800125159,11431583940608.00,226935488512.0,11658519904256.0
1815200178163,12883904692224.00,59162357760.0,12943067447296.0
233000116151,13859745169408.00,192276578304.0,14052021501952.0
1977200156148,10778236157952.00,141888782336.0,10920125267968.0
6185200140144,13206582984704.00,100982358016.0,13307565047808.0
2452400168163,23693612810240.00,32232336.0,23693644267520.0
827600070137,16115887505408.00,16337184768.0,16132224319488.0
318400092141,11868884172800.00,129642209280.0,11998525915136.0
4116200029141,16084660912128.00,228880416768.0,16313540935680.0
4397100163151,10702749171712.00,106898866176.0,10809648349184.0
92100113159,16862731567104.00,231188299776.0,17093919506432.0
4783400172159,16886151512064.00,201492627456.0,17087643779072.0
1495800188155,11673660293120.00,150754705408.0,11824415113216.0
2289800146155,12032872022016.00,138517889024.0,12171389960192.0
5006800037144,12735577325568.00,188172730368.0,12923749531648.0
7396200085155,18200282529792.00,272592683008.0,18472874541056.0
240100057159,57380683382784.00,649795731456.0,58030477541376.0
4808800151155,17674629283840.00,126279073792.0,17800909291520.0
2958600048144,10137903300608.00,147194953728.0,10285098205184.0
3102000086144,18564595580928.00,343171301376.0,18907767242752.0
4319800165163,13136322101248.00,344307302400.0,13480629370880.0
2362200048151,19098056523776.00,443780104192.0,19541836955648.0
1154400159141,12615873986560.00,199177043968.0,12815050997760.0
3760500129155,11926150053888.00,499898613760.0,12426048176128.0
4635700169159,12470149185536.00,294205554688.0,12764354445312.0
2744800060159,9981724196864.00,205338492928.0,10187062640640.0
5482400083159,25507376660480.00,247273816064.0,25754649755648.0
2225300181163,23631159623680.00,7725209088.0,23638885531648.0
3506400168148,9984326762496.00,260856627200.0,10245183111168.0
62800127148,13922199404544.00,257724661760.0,14179923656704.0
2837800110159,25515182260224.00,541417013248.0,26056599797760.0
352200156159,11363905699840.00,402489573376.0,11766395305984.0
4976700109155,23274652172288.00,411113488384.0,23685765267456.0
1342400020148,23623351926784.00,288005521408.0,23911358005248.0
4386100172141,12654908276736.00,236235554816.0,12891144060928.0
1565500112148,20789512372224.00,271112765440.0,21060625891328.0
65500100148,17219237969920.00,215111892992.0,17434350190592.0
4969600144155,18174261067776.00,336751067136.0,18511011250176.0
1466500077144,12358244106240.00,369785208832.0,12728029675520.0
6087600189137,14525919133696.00,213522710528.0,14739441713152.0
3985200123151,10783442337792.00,87543029760.0,10870985850880.0
267500094159,16959013912576.00,287566954496.0,17246580637696.0
236100066155,31242714087424.00,353647820800.0,31596361023488.0
797000051151,10791251083264.00,127162261504.0,10918412943360.0
2280200032144,25096221622272.00,943520022528.0,26039740792832.0
242800055151,13443387097088.00,223026102272.0,13666412920832.0
1366400079159,40782530609152.00,712059781120.0,41494589210624.0
4844800125148,17617381228544.00,368982818816.0,17986364637184.0
3311000109151,11004695019520.00,200154087424.0,11204849303552.0
4426100142148,10288876224512.00,294048989184.0,10582925246464.0
6325000056151,12483159916544.00,169412231168.0,12652572049408.0
1720600021163,15860868579328.00,155164459008.0,16016032661504.0
746100058151,16196557602816.00,706840559616.0,16903398490112.0
1197000044151,10687131680768.00,269850771456.0,10956982714368.0
4672100099141,21739329290240.00,269704478720.0,22009033523200.0
408400140137,11725719994368.00,325807079424.0,12051527237632.0
2565700113141,20401778327552.00,418643640320.0,20820422295552.0
353200042159,14780938059776.00,185666256896.0,14966604169216.0
3277400125159,13883165114368.00,235677450240.0,14118843056128.0
24400078159,10692337860608.00,82074394624.0,10774412001280.0
2502400141144,15657893625856.00,376762990592.0,16034656419840.0
6275300193137,10960444063744.00,160492584960.0,11120937009152.0
4943900137144,13344501137408.00,238827274240.0,13583327952896.0
6470300084155,16006593380352.00,267131699200.0,16273725456384.0
2964700082159,15384658837504.00,166220234752.0,15550879105024.0
3996800045148,11181697794048.00,107417534464.0,11289114968064.0
4043400192155,10955238932480.00,116449697792.0,11071688540160.0
1355700072148,50862487502848.00,965831426048.0,51828318273536.0
4304900086148,12925540499456.00,169361342464.0,13094902300672.0
1722600193141,14505100705792.00,236927647744.0,14742028550144.0
3203700154144,14562349809664.00,263585054720.0,14825934553088.0
3604700030148,15114025566208.00,237510361088.0,15351536418816.0
4699200128144,10192565567488.00,145200611328.0,10337766080512.0
3793500177141,11285817196544.00,236270551040.0,11522087583744.0
1786000081163,11202521464832.00,2850868224.0,11205372542976.0
5476400021163,10067622494208.00,2905860608.0,10070528098304.0
333200109141,11660645367808.00,140215746560.0,11800860950528.0
4127700115159,11382126804992.00,146668142592.0,11528795324416.0
2437600177163,32523016994816.00,354011316224.0,32877028835328.0
5034500078151,11613791846400.00,164977246208.0,11778769551360.0
3823000057159,9867193483264.00,134543925248.0,10001737318400.0
2873800054141,14442647519232.00,199387004928.0,14642034245632.0
2218600060159,16456781660160.00,459809783808.0,16916591673344.0
1566100027155,16589495730176.00,311769956352.0,16901265686528.0
6577400047159,13230002929664.00,279745789952.0,13509748326400.0
572900022163,13909187624960.00,289911734272.0,14199098966016.0
596900028159,13183163039744.00,134458097664.0,13317620891648.0
3216000186159,20131145056256.00,338820104192.0,20469965127680.0
4028700059159,11894914023424.00,224367067136.0,12119280975872.0
6237000028155,10884958126080.00,283134558208.0,11168092520448.0
2995400060151,40329738715136.00,325870977024.0,40655610970112.0
491200028151,10679322935296.00,162273394688.0,10841596362752.0
